[E1] ADS construction time (gMission)
  E1 n=10000 rep=9 SMT: 3163.0 ms
  saved results\e1_build_gMission.csv (150 rows)
  saved figs/e1_build_gMission.png
[E2/3/4] VO generation / verification / size (gMission)
  E234 n=500 rep=0 VESTA: done
  E234 n=500 rep=0 MHT: done
  E234 n=500 rep=0 SMT: done
  E234 n=500 rep=1 VESTA: done
  E234 n=500 rep=1 MHT: done
  E234 n=500 rep=1 SMT: done
  E234 n=500 rep=2 VESTA: done
  E234 n=500 rep=2 MHT: done
  E234 n=500 rep=2 SMT: done
  E234 n=500 rep=3 VESTA: done
  E234 n=500 rep=3 MHT: done
  E234 n=500 rep=3 SMT: done
  E234 n=500 rep=4 VESTA: done
  E234 n=500 rep=4 MHT: done
  E234 n=500 rep=4 SMT: done
  E234 n=500 rep=5 VESTA: done
  E234 n=500 rep=5 MHT: done
  E234 n=500 rep=5 SMT: done
  E234 n=500 rep=6 VESTA: done
  E234 n=500 rep=6 MHT: done
  E234 n=500 rep=6 SMT: done
  E234 n=500 rep=7 VESTA: done
  E234 n=500 rep=7 MHT: done
  E234 n=500 rep=7 SMT: done
  E234 n=500 rep=8 VESTA: done
  E234 n=500 rep=8 MHT: done
  E234 n=500 rep=8 SMT: done
  E234 n=500 rep=9 VESTA: done
  E234 n=500 rep=9 MHT: done
  E234 n=500 rep=9 SMT: done
  E234 n=1000 rep=0 VESTA: done
  E234 n=1000 rep=0 MHT: done
  E234 n=1000 rep=0 SMT: done
  E234 n=1000 rep=1 VESTA: done
  E234 n=1000 rep=1 MHT: done
  E234 n=1000 rep=1 SMT: done
  E234 n=1000 rep=2 VESTA: done
  E234 n=1000 rep=2 MHT: done
  E234 n=1000 rep=2 SMT: done
  E234 n=1000 rep=3 VESTA: done
  E234 n=1000 rep=3 MHT: done
  E234 n=1000 rep=3 SMT: done
  E234 n=1000 rep=4 VESTA: done
  E234 n=1000 rep=4 MHT: done
  E234 n=1000 rep=4 SMT: done
  E234 n=1000 rep=5 VESTA: done
  E234 n=1000 rep=5 MHT: done
  E234 n=1000 rep=5 SMT: done
  E234 n=1000 rep=6 VESTA: done
  E234 n=1000 rep=6 MHT: done
  E234 n=1000 rep=6 SMT: done
  E234 n=1000 rep=7 VESTA: done
  E234 n=1000 rep=7 MHT: done
  E234 n=1000 rep=7 SMT: done
  E234 n=1000 rep=8 VESTA: done
  E234 n=1000 rep=8 MHT: done
  E234 n=1000 rep=8 SMT: done
  E234 n=1000 rep=9 VESTA: done
  E234 n=1000 rep=9 MHT: done
  E234 n=1000 rep=9 SMT: done
  E234 n=2000 rep=0 VESTA: done
  E234 n=2000 rep=0 MHT: done
  E234 n=2000 rep=0 SMT: done
  E234 n=2000 rep=1 VESTA: done
  E234 n=2000 rep=1 MHT: done
  E234 n=2000 rep=1 SMT: done
  E234 n=2000 rep=2 VESTA: done
  E234 n=2000 rep=2 MHT: done
  E234 n=2000 rep=2 SMT: done
  E234 n=2000 rep=3 VESTA: done
  E234 n=2000 rep=3 MHT: done
  E234 n=2000 rep=3 SMT: done
  E234 n=2000 rep=4 VESTA: done
  E234 n=2000 rep=4 MHT: done
  E234 n=2000 rep=4 SMT: done
  E234 n=2000 rep=5 VESTA: done
  E234 n=2000 rep=5 MHT: done
  E234 n=2000 rep=5 SMT: done
  E234 n=2000 rep=6 VESTA: done
  E234 n=2000 rep=6 MHT: done
  E234 n=2000 rep=6 SMT: done
  E234 n=2000 rep=7 VESTA: done
  E234 n=2000 rep=7 MHT: done
  E234 n=2000 rep=7 SMT: done
  E234 n=2000 rep=8 VESTA: done
  E234 n=2000 rep=8 MHT: done
  E234 n=2000 rep=8 SMT: done
  E234 n=2000 rep=9 VESTA: done
  E234 n=2000 rep=9 MHT: done
  E234 n=2000 rep=9 SMT: done
  E234 n=5000 rep=0 VESTA: done
  E234 n=5000 rep=0 MHT: done
  E234 n=5000 rep=0 SMT: done
  E234 n=5000 rep=1 VESTA: done
  E234 n=5000 rep=1 MHT: done
  E234 n=5000 rep=1 SMT: done
  E234 n=5000 rep=2 VESTA: done
  E234 n=5000 rep=2 MHT: done
  E234 n=5000 rep=2 SMT: done
  E234 n=5000 rep=3 VESTA: done
  E234 n=5000 rep=3 MHT: done
  E234 n=5000 rep=3 SMT: done
  E234 n=5000 rep=4 VESTA: done
  E234 n=5000 rep=4 MHT: done
  E234 n=5000 rep=4 SMT: done
  E234 n=5000 rep=5 VESTA: done
  E234 n=5000 rep=5 MHT: done
  E234 n=5000 rep=5 SMT: done
  E234 n=5000 rep=6 VESTA: done
  E234 n=5000 rep=6 MHT: done
  E234 n=5000 rep=6 SMT: done
  E234 n=5000 rep=7 VESTA: done
  E234 n=5000 rep=7 MHT: done
  E234 n=5000 rep=7 SMT: done
  E234 n=5000 rep=8 VESTA: done
  E234 n=5000 rep=8 MHT: done
  E234 n=5000 rep=8 SMT: done
  E234 n=5000 rep=9 VESTA: done
  E234 n=5000 rep=9 MHT: done
  E234 n=5000 rep=9 SMT: done
  E234 n=10000 rep=0 VESTA: done
  E234 n=10000 rep=0 MHT: done
  E234 n=10000 rep=0 SMT: done
  E234 n=10000 rep=1 VESTA: done
  E234 n=10000 rep=1 MHT: done
  E234 n=10000 rep=1 SMT: done
  E234 n=10000 rep=2 VESTA: done
  E234 n=10000 rep=2 MHT: done
  E234 n=10000 rep=2 SMT: done
  E234 n=10000 rep=3 VESTA: done
  E234 n=10000 rep=3 MHT: done
  E234 n=10000 rep=3 SMT: done
  E234 n=10000 rep=4 VESTA: done
  E234 n=10000 rep=4 MHT: done
  E234 n=10000 rep=4 SMT: done
  E234 n=10000 rep=5 VESTA: done
  E234 n=10000 rep=5 MHT: done
  E234 n=10000 rep=5 SMT: done
  E234 n=10000 rep=6 VESTA: done
  E234 n=10000 rep=6 MHT: done
  E234 n=10000 rep=6 SMT: done
  E234 n=10000 rep=7 VESTA: done
  E234 n=10000 rep=7 MHT: done
  E234 n=10000 rep=7 SMT: done
  E234 n=10000 rep=8 VESTA: done
  E234 n=10000 rep=8 MHT: done
  E234 n=10000 rep=8 SMT: done
  E234 n=10000 rep=9 VESTA: done
  E234 n=10000 rep=9 MHT: done
  E234 n=10000 rep=9 SMT: done
  saved results\e2_vogen_gMission.csv (300 rows)
  saved results\e3_verify_gMission.csv (300 rows)
  saved results\e4_vosize_gMission.csv (300 rows)
  saved figs/e2_vogen_gMission.png
  saved figs/e3_verify_gMission.png
  saved figs/e4_vosize_gMission.png
[E5] Update time (gMission, base round = 5000 facts)
  E5 rep=0: done
  E5 rep=1: done
  E5 rep=2: done
  E5 rep=3: done
  E5 rep=4: done
  E5 rep=5: done
  E5 rep=6: done
  E5 rep=7: done
  E5 rep=8: done
  E5 rep=9: done
  saved results\e5_update_gMission.csv (150 rows)
  saved figs/e5_update_gMission.png
[E6] Leakage table (n = 5000)
  saved results\e6_leakage.csv (12 rows)
  saved results/e6_leakage.tex
Total wall time: 897.8s
